T_pearlite	tm_perlite	percentage
613.8	0.073811087	0.5
614.8	0.074554976	0.5
615.8	0.075328641	0.5
616.8	0.076133206	0.5
617.8	0.076969858	0.5
618.8	0.077839848	0.5
619.8	0.078744497	0.5
620.8	0.0796852	0.5
621.8	0.080663432	0.5
622.8	0.08168075	0.5
623.8	0.082738801	0.5
624.8	0.083839329	0.5
625.8	0.084984178	0.5
626.8	0.086175303	0.5
627.8	0.087414776	0.5
628.8	0.088704791	0.5
629.8	0.090047678	0.5
630.8	0.091445912	0.5
631.8	0.092902118	0.5
632.8	0.09441909	0.5
633.8	0.095999798	0.5
634.8	0.097647403	0.5
635.8	0.099365273	0.5
636.8	0.101156995	0.5
637.8	0.1030264	0.5
638.8	0.104977572	0.5
639.8	0.107014877	0.5
640.8	0.109142983	0.5
641.8	0.111366883	0.5
642.8	0.113691925	0.5
643.8	0.116123842	0.5
644.8	0.118668783	0.5
645.8	0.121333351	0.5
646.8	0.124124644	0.5
647.8	0.127050296	0.5
648.8	0.13011853	0.5
649.8	0.133338211	0.5
650.8	0.136718902	0.5
651.8	0.140270939	0.5
652.8	0.144005496	0.5
653.8	0.147934674	0.5
654.8	0.152071591	0.5
655.8	0.156430484	0.5
656.8	0.161026824	0.5
657.8	0.165877447	0.5
658.8	0.171000696	0.5
659.8	0.176416584	0.5
660.8	0.182146979	0.5
661.8	0.18821581	0.5
662.8	0.194649297	0.5
663.8	0.201476223	0.5
664.8	0.208728229	0.5
665.8	0.216440158	0.5
666.8	0.224650449	0.5
667.8	0.233401577	0.5
668.8	0.242740572	0.5
669.8	0.2527196	0.5
670.8	0.263396647	0.5
671.8	0.274836296	0.5
672.8	0.287110638	0.5
673.8	0.300300318	0.5
674.8	0.314495768	0.5
675.8	0.329798637	0.5
676.8	0.346323469	0.5
677.8	0.364199685	0.5
678.8	0.383573909	0.5
679.8	0.404612743	0.5
680.8	0.42750605	0.5
681.8	0.452470882	0.5
682.8	0.479756198	0.5
683.8	0.509648536	0.5
684.8	0.542478884	0.5
685.8	0.578631038	0.5
686.8	0.61855181	0.5
687.8	0.662763588	0.5
688.8	0.711879843	0.5
689.8	0.76662442	0.5
690.8	0.82785568	0.5
691.8	0.896596901	0.5
692.8	0.974074854	0.5
693.8	1.061769116	0.5
694.8	1.161475612	0.5
695.8	1.275389212	0.5
696.8	1.406212071	0.5
697.8	1.557297152	0.5
698.8	1.732840388	0.5
699.8	1.938140888	0.5
700.8	2.179957689	0.5
701.8	2.467005428	0.5
702.8	2.810653121	0.5
703.8	3.225925055	0.5
704.8	3.732959586	0.5
705.8	4.359176516	0.5
706.8	5.142566405	0.5
707.8	6.136802084	0.5
708.8	7.419395307	0.5
709.8	9.10510815	0.5
710.8	11.36876855	0.5
711.8	14.48563311	0.5
712.8	18.90611286	0.5
713.8	25.40171462	0.5
714.8	35.36887236	0.5
715.8	51.51266317	0.5
716.8	79.54219531	0.5
717.8	132.9340234	0.5
718.8	248.762092	0.5
719.8	554.60061	0.5
720.8	1682.955837	0.5
721.8	10226.32872	0.5
722.8	2178253.542	0.5
