T_pearlite	tf_pearlite	percentage
613.8	0.140114999	0.9
614.8	0.141527118	0.9
615.8	0.14299576	0.9
616.8	0.14452306	0.9
617.8	0.14611127	0.9
618.8	0.147762764	0.9
619.8	0.149480053	0.9
620.8	0.151265783	0.9
621.8	0.153122752	0.9
622.8	0.155053918	0.9
623.8	0.157062408	0.9
624.8	0.159151531	0.9
625.8	0.16132479	0.9
626.8	0.163585894	0.9
627.8	0.165938774	0.9
628.8	0.168387599	0.9
629.8	0.170936792	0.9
630.8	0.173591047	0.9
631.8	0.176355353	0.9
632.8	0.179235008	0.9
633.8	0.182235654	0.9
634.8	0.185363289	0.9
635.8	0.188624307	0.9
636.8	0.19202552	0.9
637.8	0.195574196	0.9
638.8	0.19927809	0.9
639.8	0.203145491	0.9
640.8	0.207185257	0.9
641.8	0.211406869	0.9
642.8	0.215820478	0.9
643.8	0.220436966	0.9
644.8	0.225268007	0.9
645.8	0.230326136	0.9
646.8	0.235624824	0.9
647.8	0.241178567	0.9
648.8	0.247002972	0.9
649.8	0.253114865	0.9
650.8	0.259532406	0.9
651.8	0.266275208	0.9
652.8	0.273364488	0.9
653.8	0.280823216	0.9
654.8	0.288676292	0.9
655.8	0.296950743	0.9
656.8	0.30567594	0.9
657.8	0.314883839	0.9
658.8	0.324609261	0.9
659.8	0.334890199	0.9
660.8	0.345768163	0.9
661.8	0.357288576	0.9
662.8	0.369501214	0.9
663.8	0.382460713	0.9
664.8	0.396227138	0.9
665.8	0.410866632	0.9
666.8	0.426452161	0.9
667.8	0.443064359	0.9
668.8	0.460792497	0.9
669.8	0.479735607	0.9
670.8	0.50000376	0.9
671.8	0.521719556	0.9
672.8	0.545019841	0.9
673.8	0.570057706	0.9
674.8	0.597004817	0.9
675.8	0.626054131	0.9
676.8	0.657423089	0.9
677.8	0.691357366	0.9
678.8	0.728135303	0.9
679.8	0.768073154	0.9
680.8	0.811531335	0.9
681.8	0.858921878	0.9
682.8	0.910717377	0.9
683.8	0.967461764	0.9
684.8	1.029783353	0.9
685.8	1.098410699	0.9
686.8	1.174191984	0.9
687.8	1.258118851	0.9
688.8	1.351355846	0.9
689.8	1.455277042	0.9
690.8	1.571511857	0.9
691.8	1.70200277	0.9
692.8	1.849078553	0.9
693.8	2.015547872	0.9
694.8	2.204819922	0.9
695.8	2.421061203	0.9
696.8	2.669401195	0.9
697.8	2.956204804	0.9
698.8	3.289437133	0.9
699.8	3.67915744	0.9
700.8	4.138196352	0.9
701.8	4.683096793	0.9
702.8	5.335440476	0.9
703.8	6.123747887	0.9
704.8	7.086247505	0.9
705.8	8.274990125	0.9
706.8	9.762092924	0.9
707.8	11.64944261	0.9
708.8	14.08417913	0.9
709.8	17.28415442	0.9
710.8	21.58124295	0.9
711.8	27.49796218	0.9
712.8	35.88932374	0.9
713.8	48.21987292	0.9
714.8	67.14044923	0.9
715.8	97.78607898	0.9
716.8	150.994317	0.9
717.8	252.3475999	0.9
718.8	472.2231016	0.9
719.8	1052.793929	0.9
720.8	3194.741685	0.9
721.8	19412.55851	0.9
722.8	4134961.382	0.9
