t,T,ferrite,pearlite,bainite,martensite,austenite,Hv
0.0,843.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,842.5785,0.0,0.0,0.0,0.0,1.0,0.0
100.0,842.157,0.0,0.0,0.0,0.0,1.0,0.0
150.0,841.7355,0.0,0.0,0.0,0.0,1.0,0.0
200.0,841.314,0.0,0.0,0.0,0.0,1.0,0.0
250.0,840.8925,0.0,0.0,0.0,0.0,1.0,0.0
300.0,840.471,0.0,0.0,0.0,0.0,1.0,0.0
350.0,840.0495,0.0,0.0,0.0,0.0,1.0,0.0
400.0,839.628,0.0,0.0,0.0,0.0,1.0,0.0
450.0,839.2065,0.0,0.0,0.0,0.0,1.0,0.0
500.0,838.785,0.0,0.0,0.0,0.0,1.0,0.0
550.0,838.3635,0.0,0.0,0.0,0.0,1.0,0.0
600.0,837.942,0.0,0.0,0.0,0.0,1.0,0.0
650.0,837.5205,0.0,0.0,0.0,0.0,1.0,0.0
700.0,837.099,0.0,0.0,0.0,0.0,1.0,0.0
750.0,836.6775,0.0,0.0,0.0,0.0,1.0,0.0
800.0,836.256,0.0,0.0,0.0,0.0,1.0,0.0
850.0,835.8345,0.0,0.0,0.0,0.0,1.0,0.0
900.0,835.413,0.0,0.0,0.0,0.0,1.0,0.0
950.0,834.9915,0.0,0.0,0.0,0.0,1.0,0.0
1000.0,834.57,0.0,0.0,0.0,0.0,1.0,0.0
1050.0,834.1485,0.0,0.0,0.0,0.0,1.0,0.0
1100.0,833.727,0.0,0.0,0.0,0.0,1.0,0.0
1150.0,833.3055,0.0,0.0,0.0,0.0,1.0,0.0
1200.0,832.884,0.0,0.0,0.0,0.0,1.0,0.0
1250.0,832.4625,0.0,0.0,0.0,0.0,1.0,0.0
1300.0,832.041,0.0,0.0,0.0,0.0,1.0,0.0
1350.0,831.6195,0.0,0.0,0.0,0.0,1.0,0.0
1400.0,831.198,0.0,0.0,0.0,0.0,1.0,0.0
1450.0,830.7765,0.0,0.0,0.0,0.0,1.0,0.0
1500.0,830.355,0.0,0.0,0.0,0.0,1.0,0.0
1550.0,829.9335,0.0,0.0,0.0,0.0,1.0,0.0
1600.0,829.512,0.0,0.0,0.0,0.0,1.0,0.0
1650.0,829.0905,0.0,0.0,0.0,0.0,1.0,0.0
1700.0,828.669,0.0,0.0,0.0,0.0,1.0,0.0
1750.0,828.2475,0.0,0.0,0.0,0.0,1.0,0.0
1800.0,827.826,0.0,0.0,0.0,0.0,1.0,0.0
1850.0,827.4045,0.0,0.0,0.0,0.0,1.0,0.0
1900.0,826.983,0.0,0.0,0.0,0.0,1.0,0.0
1950.0,826.5615,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,826.14,0.0,0.0,0.0,0.0,1.0,0.0
2050.0,825.7185,0.0,0.0,0.0,0.0,1.0,0.0
2100.0,825.297,0.0,0.0,0.0,0.0,1.0,0.0
2150.0,824.8755,0.0,0.0,0.0,0.0,1.0,0.0
2200.0,824.454,0.0,0.0,0.0,0.0,1.0,0.0
2250.0,824.0325,0.0,0.0,0.0,0.0,1.0,0.0
2300.0,823.611,0.0,0.0,0.0,0.0,1.0,0.0
2350.0,823.1895,0.0,0.0,0.0,0.0,1.0,0.0
2400.0,822.768,0.0,0.0,0.0,0.0,1.0,0.0
2450.0,822.3465,0.0,0.0,0.0,0.0,1.0,0.0
2500.0,821.925,0.0,0.0,0.0,0.0,1.0,0.0
2550.0,821.5035,0.0,0.0,0.0,0.0,1.0,0.0
2600.0,821.082,0.0,0.0,0.0,0.0,1.0,0.0
2650.0,820.6605,0.0,0.0,0.0,0.0,1.0,0.0
2700.0,820.239,0.0,0.0,0.0,0.0,1.0,0.0
2750.0,819.8175,0.0,0.0,0.0,0.0,1.0,0.0
2800.0,819.396,0.0,0.0,0.0,0.0,1.0,0.0
2850.0,818.9745,0.0,0.0,0.0,0.0,1.0,0.0
2900.0,818.553,0.0,0.0,0.0,0.0,1.0,0.0
2950.0,818.1315,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,817.71,0.0,0.0,0.0,0.0,1.0,0.0
3050.0,817.2885,0.0,0.0,0.0,0.0,1.0,0.0
3100.0,816.867,0.0,0.0,0.0,0.0,1.0,0.0
3150.0,816.4455,0.0,0.0,0.0,0.0,1.0,0.0
3200.0,816.024,0.0,0.0,0.0,0.0,1.0,0.0
3250.0,815.6025,0.0,0.0,0.0,0.0,1.0,0.0
3300.0,815.181,0.0,0.0,0.0,0.0,1.0,0.0
3350.0,814.7595,0.0,0.0,0.0,0.0,1.0,0.0
3400.0,814.338,0.0,0.0,0.0,0.0,1.0,0.0
3450.0,813.9165,0.0,0.0,0.0,0.0,1.0,0.0
3500.0,813.495,0.0,0.0,0.0,0.0,1.0,0.0
3550.0,813.0735,0.0,0.0,0.0,0.0,1.0,0.0
3600.0,812.652,0.0,0.0,0.0,0.0,1.0,0.0
3650.0,812.2305,0.0,0.0,0.0,0.0,1.0,0.0
3700.0,811.809,0.0,0.0,0.0,0.0,1.0,0.0
3750.0,811.3875,0.0,0.0,0.0,0.0,1.0,0.0
3800.0,810.966,0.0,0.0,0.0,0.0,1.0,0.0
3850.0,810.5445,0.0,0.0,0.0,0.0,1.0,0.0
3900.0,810.123,0.0,0.0,0.0,0.0,1.0,0.0
3950.0,809.7015,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,809.28,0.0,0.0,0.0,0.0,1.0,0.0
4050.0,808.8585,0.0,0.0,0.0,0.0,1.0,0.0
4100.0,808.437,0.0,0.0,0.0,0.0,1.0,0.0
